epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49332,3.63975,4.1659,3.71246,0.45032,0.2605,0.27292,0.08828,2.96483,2.90142,2.25606,0.00016,0.00016,0.00016
2,5.28932,3.52863,3.84282,3.37936,0.58987,0.47059,0.43338,0.13232,2.63625,1.81351,2.09248,0.000339916,0.000339916,0.000339916
3,6.89878,3.35143,3.01688,3.13482,0.58828,0.51261,0.45311,0.15427,2.40346,1.71491,1.93745,0.000519487,0.000519487,0.000519487
4,8.48436,3.14254,2.6469,2.82951,0.60065,0.5042,0.51617,0.18137,2.28329,2.13166,1.84493,0.000698448,0.000698448,0.000698448
5,9.99772,3.04538,2.49425,2.76548,0.59084,0.49754,0.52602,0.19787,2.17126,2.33795,1.75658,0.000876534,0.000876534,0.000876534
6,11.5316,2.87613,2.45152,2.72428,0.58434,0.42532,0.4835,0.19257,2.11828,2.39786,1.71559,0.00105348,0.00105348,0.00105348
7,13.1038,2.84062,2.41567,2.73242,0.62308,0.36118,0.51643,0.1758,2.14571,2.31874,1.72391,0.00122903,0.00122903,0.00122903
8,14.6236,2.70576,2.40306,2.58677,0.66099,0.52941,0.56108,0.19782,2.09157,2.12317,1.68054,0.00140292,0.00140292,0.00140292
9,16.1327,2.64658,2.42317,2.65359,0.65268,0.55272,0.59076,0.21408,2.04669,1.99025,1.6587,0.00157489,0.00157489,0.00157489
10,17.6342,2.54826,2.3091,2.49627,0.61945,0.57143,0.58477,0.21563,1.98692,1.93916,1.64332,0.0017447,0.0017447,0.0017447
11,19.1935,2.51806,2.26961,2.56864,0.55682,0.53782,0.58061,0.22592,1.95315,2.07176,1.59111,0.00191208,0.00191208,0.00191208
12,20.7156,2.46486,2.24797,2.44064,0.49583,0.64706,0.57285,0.22954,1.92108,2.014,1.55348,0.00194094,0.00194094,0.00194094
